REFERENCIA	DESCRIPCION_REF	STOCK_TOTAL_PORTABILIDAD	STOCK_DISPONIBLE_PORTABILIDAD	COMPROMETIDO_PORTABILIDAD	PENDIENTE_PORTABILIDAD	STOCK_TOTAL_NO_PORTABILIDAD	DISPONIBLE_NO_PORTABILIDAD	COMPROMETIDO_NO_PORTABILIDAD	PENDIENTE_NO_PORTABILIDAD
3810154	WP PORTAB. POS. RESID UNICO 64K	5231	1874	3357	0	3143	3143	0	0
3810117	WP 3FF PORTABILIDAD HLR UNICO	3329	2283	1046	0	6745	6745	0	0
3810155	WP PORTAB. PRE RESID UNICO 64K	979	871	108	0	3924	3924	0	0
3810157	WP BASICO PORTABILIDAD HLR UNICO RESIDEN	649	545	104	0	1352	1352	0	0
1080047	WP POSPAGO RESIDENCIAL 64K HLR31 ORANGE	453	453	0	0	0	0	0	0
3810087	WP PORTABILIDAD POS 40 MOVIL 2009	259	259	0	0	0	0	0	0
3800061	WP PINGÜINO PORTABILIDAD 64 KB	132	97	35	0	54	54	0	0
3810088	WP PORTABILIDAD PRE 40 MOVIL 2009	21	21	0	0	40	40	0	0
1080057	WP PORTABILIDAD POS EMP 64K HLR14 ORANGE	19	19	0	0	0	0	0	0
3810054	WP PORTABILIDAD PORS RES 64 K HL	5	0	5	0	0	0	0	0
1080056	WP PORTABILIDAD POS RES 64K HLR34 ORANGE	1	1	0	0	0	0	0	0
1080055	WP PORTABILIDAD POS RES 64K HLR14 ORANGE	1	0	1	0	0	0	0	0
3800058	WP FUSION PORTABILIDAD 64 KB	1	0	1	0	0	0	0	0
3810038	WP PORTABILIDAD POS RES 64K H	1	0	1	0	0	0	0	0
3810058	WP PORTABILIDAD PRE RES 64K HLR 10	0	0	0	0	1	1	0	0
1080039	WP HLR 34 EMPRESA	0	0	0	0	0	0	0	0
1080041	WP PORTABILIDAD PREPAGO HLR14	0	0	0	0	0	0	0	0
1080054	WP PORTABILIDAD PREPAGO 64K HLR34ORANGE	0	0	0	0	0	0	0	0
1080058	WP PORTABILIDAD POS EMP 64K HLR34 ORANGE	0	0	0	0	0	0	0	0
3810005	WP PORTABILIDAD POS RES 64K H	0	0	0	0	0	0	0	0
3810006	WP PORTABILIDAD POS RES 64K HLR32	0	0	0	0	0	0	0	0
3810010	WP PORTABILIDAD SIM+HLR 30	0	0	0	0	0	0	0	0
3810015	WP PORTABILIDAD PREPAGO 64K HLR31	0	0	0	0	0	0	0	0
3810016	WP PORTABILIDAD PREPAGO 64K HLR32	0	0	0	0	0	0	0	0
3810018	WP PORTABILIDAD POS EMP 64K HLR33	0	0	0	0	0	0	0	0
3810019	WP PORTABILIDAD POS RES 64K HLR33	0	0	0	0	0	0	0	0
3810020	WP PORTABILIDAD PREPAGO 64K HLR23	0	0	0	0	0	0	0	0
3810022	WP PORTABILIDAD POS RES 64K HLR23	0	0	0	0	0	0	0	0
3810035	WP PORTABILIDAD POS EMP 64K HLR 24	0	0	0	0	0	0	0	0
3810036	WP PORTABILIDAD POS RES 64K HLR 24	0	0	0	0	0	0	0	0
3810037	WP PORTABILIDAD POS EMP 64K HLR 42	0	0	0	0	0	0	0	0
3810039	WP PORTABILIDAD PRE RES 64K HLR 42	0	0	0	0	0	0	0	0
3810041	WP PORTABILIDAD PREPAGO RES 64K HLR24	0	0	0	0	0	0	0	0
3810046	WP PORTABILIDAD POSPAGO RES 64K HLR 41	0	0	0	0	0	0	0	0
3810048	WP PORTABILIDAD POSPAGO RES 6	0	0	0	0	0	0	0	0
